	Unnamed: 0	matched_Node1_textlabel	matched_Node2_textlabel	hmdb_id_node_1	hmdb_id_node_2	substrate_name	product_name
182	645	L-Arabinose	L-Arabinose	HMDB0000646	HMDB0000646	arabinose	arabinose
183	654	D-Xylose	D-Xylose	HMDB0000098	HMDB0000098	xylose	xylose
184	669	Myoinositol	D-Glucuronic acid	HMDB0000211	HMDB0000127	myo-inositol	glucuronate
185	670	D-Glucuronic acid	Gulonic acid	HMDB0000127	HMDB0003290	glucuronate	gulonate*
186	680	Ascorbic acid	Ascorbic acid	HMDB0000044	HMDB0000044	ascorbate (vitamin c)	ascorbate (vitamin c)
187	692	Sucrose	D-Glucose	HMDB0000258	HMDB0000122	sucrose	glucose
188	695	D-Glucose	D-Glucose	HMDB0000122	HMDB0000122	glucose	glucose
189	696	Sucrose	D-Fructose	HMDB0000258	HMDB0000660	sucrose	fructose
190	697	D-Fructose	D-Fructose	HMDB0000660	HMDB0000660	fructose	fructose
191	698	Sucrose	Sucrose	HMDB0000258	HMDB0000258	sucrose	sucrose
192	700	Myoinositol	Myoinositol	HMDB0000211	HMDB0000211	myo-inositol	myo-inositol
193	701	Myo-inositol 1-phosphate	Myoinositol	HMDB0000213	HMDB0000211	inositol 1-phosphate (i1p)	myo-inositol
194	703	Myo-inositol 1-phosphate	Myo-inositol 1-phosphate	HMDB0000213	HMDB0000213	inositol 1-phosphate (i1p)	inositol 1-phosphate (i1p)
195	707	D-Galactose	D-Galactose	HMDB0000143	HMDB0000143	hexose	hexose
196	713	D-Maltose	D-Maltose	HMDB0000163	HMDB0000163	maltose	maltose
197	718	Choline	Phosphorylcholine	HMDB0000097	HMDB0001565	choline	choline phosphate
198	719	Phosphorylcholine	Phosphorylcholine	HMDB0001565	HMDB0001565	choline phosphate	choline phosphate
199	720	Choline	Choline	HMDB0000097	HMDB0000097	choline	choline
200	722	Betaine	Betaine	HMDB0000043	HMDB0000043	betaine	betaine
201	723	Betaine	Dimethylglycine	HMDB0000043	HMDB0000092	betaine	dimethylglycine
202	724	Dimethylglycine	Dimethylglycine	HMDB0000092	HMDB0000092	dimethylglycine	dimethylglycine
203	725	Dimethylglycine	Sarcosine	HMDB0000092	HMDB0000271	dimethylglycine	sarcosine
204	726	Sarcosine	Sarcosine	HMDB0000271	HMDB0000271	sarcosine	sarcosine
205	727	Sarcosine	Glycine	HMDB0000271	HMDB0000123	sarcosine	glycine
206	728	Glycine	Glycine	HMDB0000123	HMDB0000123	glycine	glycine
207	729	Glycine	L-Serine	HMDB0000123	HMDB0000187	glycine	serine
208	731	L-Serine	L-Serine	HMDB0000187	HMDB0000187	serine	serine
209	737	L-Serine	L-Serine	HMDB0000187	HMDB0000187	serine	serine
210	740	Sphinganine	Sphinganine	HMDB0000269	HMDB0000269	sphinganine	sphinganine
211	741	Sphinganine	Sphingosine	HMDB0000269	HMDB0000252	sphinganine	sphingosine
212	742	Sphingosine	Sphingosine	HMDB0000252	HMDB0000252	sphingosine	sphingosine
213	766	O-Phosphoethanolamine	O-Phosphoethanolamine	HMDB0000224	HMDB0000224	phosphoethanolamine	phosphoethanolamine
214	770	Formiminoglutamic acid	L-Glutamic acid	HMDB0000854	HMDB0000148	formiminoglutamate	glutamate
215	771	L-Glutamic acid	L-Glutamic acid	HMDB0000148	HMDB0000148	glutamate	glutamate
216	772	Formiminoglutamic acid	Formiminoglutamic acid	HMDB0000854	HMDB0000854	formiminoglutamate	formiminoglutamate
217	0	Oleic acid	OA	HMDB0000207	HMDB0000207	oleate (18:1n9)	oleate (18:1n9)
218	26	Nicotinamide	Nicotinamide	HMDB0001406	HMDB0001406	nicotinamide	nicotinamide
219	30	L-Tryptophan	L-Tryptophan	HMDB0000929	HMDB0000929	tryptophan	tryptophan
220	46	Nicotinamide	Nicotinamide	HMDB0001406	HMDB0001406	nicotinamide	nicotinamide
221	1	Glucose	Pyruvate	HMDB0000122	HMDB0000243	glucose	pyruvate
222	7	Pyruvate	Lactate	HMDB0000243	HMDB0000190	pyruvate	lactate
223	0	AA	AA	HMDB0001043	HMDB0001043	arachidonate (20:4n6)	arachidonate (20:4n6)
224	4	glycine	hippuric acid	HMDB0000123	HMDB0000714	glycine	hippurate
225	10	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
226	11	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
